DATE,OPEN,HIGH,LOW,LAST,CLOSE,VOL
20120208,1304.00,1304.00,1304.00,1304.00,1304.00,248387500
20120212,1369.00,1369.00,1320.00,1369.00,1365.00,75848282
20120213,1379.00,1397.00,1301.00,1311.00,1350.00,23435322
20120214,1320.00,1324.00,1293.00,1317.00,1304.00,12352753
20120215,1311.00,1324.00,1282.00,1290.00,1301.00,9402675
20120218,1290.00,1323.00,1290.00,1300.00,1306.00,10763775
20120219,1300.00,1313.00,1268.00,1280.00,1295.00,8287222
20120220,1251.00,1270.00,1235.00,1240.00,1249.00,7255902
20120318,1450.00,1549.00,1402.00,1505.00,1478.00,50477765
20120324,1551.00,1551.00,1551.00,1551.00,1551.00,780221
20120325,1628.00,1628.00,1628.00,1628.00,1628.00,1107443
20120326,1683.00,1709.00,1580.00,1709.00,1676.00,35810039
20120327,1750.00,1759.00,1740.00,1759.00,1757.00,6474176
20120328,1844.00,1844.00,1844.00,1844.00,1844.00,468277
20120402,1899.00,1925.00,1822.00,1851.00,1881.00,44896673
20120403,1821.00,1830.00,1787.00,1787.00,1796.00,12919026
20120404,1752.00,1810.00,1748.00,1784.00,1782.00,12630819
20120407,1770.00,1868.00,1770.00,1852.00,1848.00,11614226
20120408,1900.00,1940.00,1850.00,1880.00,1930.00,22050791
20120409,1931.00,1965.00,1900.00,1905.00,1922.00,6497534
20120410,1970.00,2018.00,1968.00,2005.00,1995.00,15758626
20120411,2000.00,2094.00,1990.00,2094.00,2064.00,11247915
20120414,2150.00,2167.00,2107.00,2167.00,2163.00,42588864
20120415,2271.00,2271.00,2250.00,2271.00,2271.00,54534304
20120416,2285.00,2300.00,2158.00,2170.00,2199.00,25315913
20120417,2200.00,2230.00,2100.00,2192.00,2168.00,12988892
20120418,2195.00,2276.00,2195.00,2276.00,2265.00,26599215
20120421,2300.00,2330.00,2183.00,2200.00,2229.00,6825525
20120422,2189.00,2200.00,2150.00,2164.00,2169.00,4886382
20120423,2160.00,2160.00,2061.00,2089.00,2079.00,14799724
20120424,2030.00,2160.00,2001.00,2085.00,2094.00,6179016
20120428,2090.00,2090.00,1990.00,1990.00,2005.00,12686141
20120429,1957.00,1989.00,1905.00,1905.00,1908.00,6441177
20120430,1901.00,1957.00,1880.00,1932.00,1922.00,8112389
20120501,1940.00,1962.00,1881.00,1890.00,1907.00,4328093
20120502,1880.00,1900.00,1850.00,1889.00,1870.00,2869438
20120505,1890.00,1899.00,1820.00,1835.00,1849.00,3383765
20120506,1842.00,1929.00,1841.00,1909.00,1873.00,3594916
20120507,1900.00,1925.00,1860.00,1880.00,1890.00,2785501
20120508,1899.00,1899.00,1860.00,1860.00,1874.00,1648458
20120509,1856.00,1889.00,1821.00,1858.00,1846.00,4350120
20120512,1860.00,1860.00,1754.00,1754.00,1767.00,8680780
20120513,1742.00,1822.00,1701.00,1800.00,1781.00,3181276
20120514,1800.00,1870.00,1800.00,1870.00,1867.00,6715011
20120515,1928.00,1928.00,1861.00,1861.00,1895.00,4007663
20120516,1895.00,1895.00,1827.00,1840.00,1848.00,1971969
20120519,1850.00,1850.00,1790.00,1827.00,1817.00,1047287
20120520,1837.00,1899.00,1822.00,1865.00,1861.00,2077283
20120526,1700.00,1763.00,1652.00,1745.00,1716.00,8305595
20120527,1750.00,1785.00,1725.00,1774.00,1751.00,2051791
20120528,1775.00,1788.00,1720.00,1738.00,1739.00,1360503
20120529,1738.00,1754.00,1715.00,1724.00,1725.00,1528862
20120530,1727.00,1800.00,1713.00,1780.00,1755.00,2624847
20120602,1794.00,1842.00,1760.00,1761.00,1836.00,13753380
20120605,1745.00,1745.00,1745.00,1745.00,1745.00,142509
20120606,1658.00,1693.00,1658.00,1658.00,1658.00,10723379
20120609,1639.00,1639.00,1576.00,1576.00,1586.00,4440448
20120610,1540.00,1580.00,1508.00,1560.00,1537.00,5034242
20120611,1597.00,1613.00,1558.00,1580.00,1592.00,11908534
20120612,1596.00,1596.00,1525.00,1529.00,1550.00,3148642
20120613,1539.00,1573.00,1510.00,1539.00,1534.00,2422747
20120616,1549.00,1565.00,1511.00,1513.00,1533.00,2230973
20120617,1517.00,1550.00,1490.00,1550.00,1509.00,2870569
20120619,1550.00,1550.00,1500.00,1541.00,1530.00,806484
20120620,1553.00,1553.00,1493.00,1493.00,1513.00,1370701
20120623,1500.00,1500.00,1438.00,1438.00,1439.00,6791255
20120624,1401.00,1476.00,1395.00,1404.00,1416.00,3251883
20120625,1402.00,1420.00,1390.00,1390.00,1404.00,1850061
20120626,1400.00,1400.00,1334.00,1334.00,1349.00,1962588
20120627,1285.00,1330.00,1282.00,1320.00,1292.00,7333720
20120630,1356.00,1356.00,1356.00,1356.00,1356.00,1112768
20120701,1419.00,1423.00,1380.00,1423.00,1416.00,2970200
20120702,1486.00,1486.00,1486.00,1486.00,1486.00,124304
20120703,1560.00,1560.00,1500.00,1530.00,1552.00,9107701
20120704,1521.00,1560.00,1480.00,1530.00,1523.00,3165647
20120707,1517.00,1530.00,1468.00,1468.00,1500.00,1985973
20120708,1461.00,1495.00,1425.00,1425.00,1441.00,2816471
20120709,1390.00,1400.00,1369.00,1395.00,1376.00,5529253
20120710,1399.00,1444.00,1395.00,1444.00,1443.00,8594351
20120711,1461.00,1515.00,1461.00,1494.00,1504.00,4854986
20120714,1516.00,1544.00,1430.00,1444.00,1469.00,2908114
20120715,1460.00,1480.00,1396.00,1400.00,1426.00,7468150
20120716,1400.00,1422.00,1355.00,1355.00,1359.00,6240185
20120728,1400.00,1400.00,1280.00,1290.00,1314.00,6183980
20120729,1290.00,1324.00,1251.00,1269.00,1264.00,1963529
20120730,1298.00,1327.00,1270.00,1327.00,1319.00,6205164
20120731,1384.00,1384.00,1384.00,1384.00,1384.00,2058534
20120801,1453.00,1453.00,1370.00,1370.00,1418.00,8136518
20120804,1360.00,1360.00,1348.00,1348.00,1350.00,1295629
20120805,1300.00,1390.00,1292.00,1384.00,1343.00,3832494
20120806,1389.00,1410.00,1369.00,1380.00,1399.00,7644589
20120807,1400.00,1400.00,1330.00,1331.00,1341.00,3715237
20120808,1360.00,1408.00,1311.00,1408.00,1396.00,4772322
20120811,1420.00,1465.00,1406.00,1465.00,1450.00,7370675
20120812,1470.00,1486.00,1379.00,1420.00,1421.00,6555737
20120813,1400.00,1484.00,1374.00,1480.00,1468.00,6157691
20120814,1490.00,1541.00,1490.00,1541.00,1539.00,8750879
20120815,1615.00,1615.00,1615.00,1615.00,1615.00,491331
20120818,1650.00,1678.00,1594.00,1621.00,1628.00,14120212
20120821,1630.00,1709.00,1630.00,1702.00,1693.00,19637425
20120822,1700.00,1726.00,1630.00,1635.00,1653.00,6827392
20120825,1630.00,1670.00,1600.00,1661.00,1641.00,9914691
20120826,1661.00,1697.00,1650.00,1651.00,1662.00,10247148
20120827,1651.00,1651.00,1591.00,1650.00,1623.00,12671465
20120902,1612.00,1704.00,1612.00,1704.00,1683.00,18972103
20120903,1767.00,1767.00,1738.00,1767.00,1766.00,30144609
20120904,1780.00,1834.00,1752.00,1809.00,1795.00,31080130
20120905,1808.00,1820.00,1710.00,1730.00,1751.00,16883876
20120908,1748.00,1834.00,1720.00,1771.00,1797.00,19196542
20120909,1800.00,1810.00,1711.00,1759.00,1737.00,7595691
20120910,1756.00,1823.00,1756.00,1823.00,1805.00,19660163
20120911,1829.00,1880.00,1810.00,1811.00,1838.00,8536891
20120915,1850.00,1929.00,1840.00,1880.00,1907.00,16137802
20120916,1900.00,1914.00,1822.00,1850.00,1855.00,7266689
20120917,1850.00,1897.00,1831.00,1860.00,1879.00,6490068
20120918,1889.00,1892.00,1830.00,1830.00,1866.00,9227948
20120919,1830.00,1939.00,1830.00,1870.00,1876.00,18264088
20120922,1900.00,1969.00,1900.00,1969.00,1955.00,14145459
20120923,2052.00,2052.00,1940.00,1977.00,2018.00,20663343
20120924,1985.00,2094.00,1973.00,2087.00,2044.00,14387591
20120925,2119.00,2146.00,2113.00,2146.00,2140.00,21113338
20120926,2240.00,2247.00,2204.00,2247.00,2246.00,25945014
20120929,2340.00,2358.00,2307.00,2358.00,2353.00,16532459
20120930,2470.00,2470.00,2290.00,2380.00,2411.00,39525855
20121001,2410.00,2429.00,2291.00,2291.00,2365.00,29549374
20121002,2303.00,2365.00,2247.00,2270.00,2267.00,28973192
20121003,2339.00,2377.00,2154.00,2154.00,2249.00,29433825
20121006,2138.00,2165.00,2137.00,2137.00,2138.00,3412789
20121007,2085.00,2189.00,2061.00,2104.00,2106.00,14493888
20121008,2150.00,2197.00,2110.00,2155.00,2156.00,5464411
20121009,2193.00,2194.00,2051.00,2096.00,2098.00,6322536
20121010,2085.00,2085.00,2010.00,2045.00,2022.00,5511595
20121013,1999.00,1999.00,1921.00,1921.00,1933.00,5884108
20121014,1898.00,2029.00,1875.00,2029.00,1973.00,8846367
20121015,2063.00,2071.00,2055.00,2071.00,2069.00,4459711
20121016,2140.00,2172.00,2000.00,2015.00,2098.00,25921548
20121017,2040.00,2202.00,2006.00,2202.00,2123.00,36541590
20121020,2229.00,2229.00,2229.00,2229.00,2229.00,642959
20121021,2340.00,2340.00,2280.00,2340.00,2339.00,80763901
20121022,2455.00,2455.00,2455.00,2455.00,2455.00,125226625
20121023,2450.00,2540.00,2338.00,2429.00,2446.00,41723248
20121024,2415.00,2568.00,2415.00,2568.00,2526.00,50965227
20121027,2577.00,2652.00,2570.00,2652.00,2643.00,51458881
20121028,2725.00,2750.00,2570.00,2680.00,2673.00,49953987
20121029,2702.00,2774.00,2650.00,2729.00,2717.00,29462483
20121030,2708.00,2852.00,2702.00,2730.00,2788.00,56516880
20121031,2701.00,2791.00,2662.00,2760.00,2734.00,34669309
20121104,2770.00,2840.00,2700.00,2711.00,2756.00,20816474
20121105,2700.00,2700.00,2619.00,2650.00,2623.00,46433930
20121106,2632.00,2754.00,2632.00,2730.00,2714.00,22840857
20121107,2800.00,2849.00,2770.00,2849.00,2821.00,28491733
20121110,2865.00,2910.00,2720.00,2820.00,2818.00,21839636
20121111,2827.00,2888.00,2780.00,2780.00,2811.00,14881794
20121112,2770.00,2879.00,2722.00,2815.00,2818.00,15750596
20121113,2835.00,2958.00,2831.00,2958.00,2942.00,45829718
20121114,3020.00,3089.00,3002.00,3070.00,3069.00,49382575
20121117,3061.00,3061.00,2916.00,2941.00,2951.00,40459922
20121118,2900.00,3020.00,2872.00,2885.00,2931.00,15682902
20121119,2830.00,2870.00,2785.00,2785.00,2795.00,27777373
20121120,2742.00,2840.00,2659.00,2770.00,2738.00,14278204
20121121,2790.00,2840.00,2786.00,2829.00,2815.00,12131325
