<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<VOL>
13901119,166.83,167,167,166.83,248387500
13901123,175.14,175,169,175.14,75848282
13901124,176.42,179,166,167.72,23435322
13901125,168.87,169,165,168.49,12352753
13901126,167.72,169,164,165.04,9402675
13901129,165.04,169,165,166.31,10763775
13901130,166.31,168,162,163.76,8287222
13901201,160.05,162,158,158.64,7255902
13901228,185.5,198,179,192.54,50477765
13910105,198.43,198,198,198.43,780221
13910106,208.28,208,208,208.28,1107443
13910107,215.31,219,202,218.64,35810039
13910108,223.88,225,223,225.04,6474176
13910109,235.91,236,236,235.91,468277
13910114,242.95,246,233,236.81,44896673
13910115,232.97,234,229,228.62,12919026
13910116,224.14,232,224,228.23,12630819
13910119,226.44,239,226,236.93,11614226
13910120,243.07,248,237,240.52,22050791
13910121,247.04,251,243,243.71,6497534
13910122,252.03,258,252,256.51,15758626
13910123,255.87,268,255,267.89,11247915
13910126,275.06,277,270,277.23,42588864
13910127,290.54,291,288,290.54,54534304
13910128,292.33,294,276,277.62,25315913
13910129,281.46,285,269,280.43,12988892
13910130,280.82,291,281,291.18,26599215
13910202,294.25,298,279,281.46,6825525
13910203,280.05,281,275,276.85,4886382
13910204,276.34,276,264,267.25,14799724
13910205,259.71,276,256,266.74,6179016
13910209,267.38,267,255,254.59,12686141
13910210,250.37,254,244,243.71,6441177
13910211,243.2,250,241,247.17,8112389
13910212,248.19,251,241,241.8,4328093
13910213,240.52,243,237,241.67,2869438
13910216,241.8,243,233,234.76,3383765
13910217,235.65,247,236,244.23,3594916
13910218,243.07,246,238,240.52,2785501
13910219,242.95,243,238,237.96,1648458
13910220,237.45,242,233,237.7,4350120
13910223,237.96,238,224,224.4,8680780
13910224,222.86,233,218,230.28,3181276
13910225,230.28,239,230,239.24,6715011
13910226,246.66,247,238,238.09,4007663
13910227,242.44,242,234,235.4,1971969
13910230,236.68,237,229,233.74,1047287
13910231,235.02,243,233,238.6,2077283
13910306,217.49,226,211,223.25,8305595
13910307,223.88,228,221,226.96,2051791
13910308,227.08,229,220,222.35,1360503
13910309,222.35,224,219,220.56,1528862
13910310,220.94,230,219,227.72,2624847
13910313,229.51,236,225,225.29,13753380
13910316,223.25,223,223,223.25,142509
13910317,212.11,217,212,212.11,10723379
13910320,209.68,210,202,201.62,4440448
13910321,197.02,202,193,199.58,5034242
13910322,204.31,206,199,202.14,11908534
13910323,204.18,204,195,195.61,3148642
13910324,196.89,201,193,196.89,2422747
13910327,198.17,200,193,193.56,2230973
13910328,194.08,198,191,198.3,2870569
13910330,198.3,198,192,197.15,806484
13910331,198.68,199,191,191.01,1370701
13910403,191.9,192,184,183.97,6791255
13910404,179.24,189,178,179.62,3251883
13910405,179.36,182,178,177.83,1850061
13910406,179.11,179,171,170.66,1962588
13910407,164.4,170,164,168.87,7333720
13910410,173.48,173,173,173.48,1112768
13910411,181.54,182,177,182.05,2970200
13910412,190.11,190,190,190.11,124304
13910413,199.58,200,192,195.74,9107701
13910414,194.59,200,189,195.74,3165647
13910417,194.08,196,188,187.81,1985973
13910418,186.91,191,182,182.31,2816471
13910419,177.83,179,175,178.47,5529253
13910420,178.98,185,178,184.74,8594351
13910421,186.91,194,187,191.13,4854986
13910424,193.95,198,183,184.74,2908114
13910425,186.78,189,179,179.11,7468150
13910426,179.11,182,173,173.35,6240185
13910507,179.11,179,164,165.04,6183980
13910508,165.04,169,160,162.35,1963529
13910509,166.06,170,162,169.77,6205164
13910510,177.06,177,177,177.06,2058534
13910511,185.89,186,175,175.27,8136518
13910514,173.99,174,172,172.46,1295629
13910515,166.31,178,165,177.06,3832494
13910516,177.7,180,175,176.55,7644589
13910517,179.11,179,170,170.28,3715237
13910518,173.99,180,168,180.13,4772322
13910521,181.67,187,180,187.42,7370675
13910522,188.06,190,176,181.67,6555737
13910523,179.11,190,176,189.34,6157691
13910524,190.62,197,191,197.15,8750879
13910525,206.61,207,207,206.61,491331
13910528,211.09,215,204,207.38,14120212
13910531,208.53,219,209,217.74,19637425
13910601,217.49,221,209,209.17,6827392
13910604,208.53,214,205,212.5,9914691
13910605,212.5,217,211,211.22,10247148
13910606,211.22,211,204,211.09,12671465
13910612,206.23,218,206,218,18972103
13910613,226.06,226,222,226.06,30144609
13910614,227.72,235,224,231.43,31080130
13910615,231.31,233,219,221.33,16883876
13910618,223.63,235,220,226.57,19196542
13910619,230.28,232,219,225.04,7595691
13910620,224.65,233,225,233.22,19660163
13910621,233.99,241,232,231.69,8536891
13910625,236.68,247,235,240.52,16137802
13910626,243.07,245,233,236.68,7266689
13910627,236.68,243,234,237.96,6490068
13910628,241.67,242,234,234.12,9227948
13910629,234.12,248,234,239.24,18264088
13910701,243.07,252,243,251.9,14145459
13910702,262.52,263,248,252.93,20663343
13910703,253.95,268,252,267,14387591
13910704,271.09,275,270,274.55,21113338
13910705,286.57,287,282,287.47,25945014
13910708,299.37,302,295,301.67,16532459
13910709,316,316,293,304.48,39525855
13910710,308.32,311,293,293.1,29549374
13910711,294.63,303,287,290.41,28973192
13910712,299.24,304,276,275.57,29433825
13910715,273.52,277,273,273.4,3412789
13910716,266.74,280,264,269.17,14493888
13910717,275.06,281,270,275.7,5464411
13910718,280.56,281,262,268.15,6322536
13910719,266.74,267,257,261.63,5511595
13910722,255.74,256,246,245.76,5884108
13910723,242.82,260,240,259.58,8846367
13910724,263.93,265,263,264.95,4459711
13910725,273.78,278,256,257.79,25921548
13910726,260.99,282,257,281.71,36541590
13910729,285.17,285,285,285.17,642959
13910730,299.37,299,292,299.37,80763901
13910801,314.08,314,314,314.08,125226625
13910802,313.44,325,299,310.75,41723248
13910803,308.96,329,309,328.54,50965227
13910806,329.69,339,329,339.28,51458881
13910807,348.62,352,329,342.86,49953987
13910808,345.68,355,339,349.13,29462483
13910809,346.45,365,346,349.26,56516880
13910810,345.55,357,341,353.1,34669309
13910814,354.38,363,345,346.83,20816474
13910815,345.42,345,335,339.03,46433930
13910816,336.72,352,337,349.26,22840857
13910817,358.22,364,354,364.48,28491733
13910820,366.53,372,348,360.77,21839636
13910821,361.67,369,356,355.66,14881794
13910822,354.38,368,348,360.13,15750596
13910823,362.69,378,362,378.43,45829718
13910824,386.36,395,384,392.76,49382575
13910827,391.61,392,373,376.25,40459922
13910828,371.01,386,367,369.09,15682902
13910829,362.05,367,356,356.3,27777373
13910830,350.8,363,340,354.38,14278204
13910901,356.94,363,356,361.93,12131325
13910906,369.22,378,369,378.05,16275501
13910907,383.8,393,376,379.32,23196358
13910908,383.67,390,371,377.41,24664591
13910911,378.56,385,371,374.85,17062565
13910912,382.4,390,370,374.85,20798245
13910913,374.85,377,368,369.73,16378297
13910914,374.08,379,369,369.22,9009147
13910915,368.58,380,365,376.38,15912235
13910918,385.21,394,371,371.27,49261954
13910919,371.01,377,367,367.94,34570072
13910920,365.89,377,354,358.09,10221550
13910921,356.94,367,352,353.1,6637061
13910922,354.89,356,345,353.1,9458834
13910925,357.96,363,352,354.12,6338385
13910926,360.65,370,352,363.33,11914892
13910927,369.73,382,370,381.88,25257889
13910928,387.64,388,372,373.57,20942887
13910929,376.13,385,365,367.17,20047247
13911002,371.01,380,367,376.13,12034401
13911003,394.29,394,394,394.29,20209966
13911004,414,414,414,414,10177848
13911005,427.17,428,394,410.54,68613268
13911006,407.98,437,404,436.9,68309330
13911101,382.14,408,372,404.14,29309695
13911102,404.27,417,403,409.13,24820668
13911103,406.83,412,393,402.99,18755213
13911104,411.95,414,407,414.12,15294357
13911107,431.01,434,418,419.24,15550401
13911108,416.43,418,406,406.19,18493492
13911109,389.82,411,390,407.85,12237691
13911111,407.6,408,391,394.55,6720661
13911114,396.98,412,391,392.76,13076670
13911115,399.03,409,391,406.19,15607001
13911116,394.42,402,385,387.64,15846789
13911117,385.98,402,385,390.2,7244134
13911118,393.14,411,393,406.32,67838913
13911121,406.96,409,394,397.88,7108714
13911123,400.43,419,395,415.66,21506959
13911124,419.62,422,399,400.43,7768579
13911125,400.69,403,395,396.6,6320902
13911128,404.27,411,400,408.11,7409507
13911129,419.62,427,412,427.3,79807636
13911130,446.62,447,442,447.39,44385314
13911209,483.59,484,461,461.71,77752961
13911212,453.53,466,447,446.87,43581784
13911213,434.98,448,425,439.33,38376342
13911214,438.81,445,420,423.46,14286701
13911215,415.79,423,410,420.65,16292438
13911216,415.91,431,416,425.76,88363266
13911219,419.11,425,412,412.72,8160587
13911220,417.45,437,417,435.62,37402185
13911221,434.98,441,429,433.31,5638001
13911222,432.29,445,424,443.8,10352372
13911223,445.21,457,427,431.39,38459458
13911226,424.87,428,420,419.75,6590958
13911227,400.56,418,400,412.46,13424020
13911228,410.67,429,408,428.84,8980090
13920105,437.53,438,438,437.53,1675976
13920106,458.64,459,435,440.09,12973163
13920107,441.37,442,429,429.73,5734894
13920110,422.18,426,412,418.34,6567639
13920111,424.74,429,413,414.51,7800285
13920114,415.79,416,409,413.23,9524374
13920117,418.09,418,405,405.42,6372853
13920118,404.53,409,396,401.2,6360893
13920119,402.99,412,402,410.67,7456795
13920120,409.39,416,404,405.55,8945590
13920121,405.55,409,397,402.61,13969614
13920124,400.43,400,388,391.22,9058930
13920126,390.2,399,388,392.12,5589352
13920127,393.65,403,390,390.33,10614576
13920128,396.72,398,375,374.85,17233273
13920131,375.23,380,362,362.44,22754360
13920201,362.05,375,348,369.09,17157669
13920202,373.57,376,371,376.13,3643051
13920203,394.04,394,394,394.04,1938036
13920204,413.74,414,402,403.63,24888312
13920207,406.7,413,395,398.77,11498710
13920208,402.86,409,388,394.17,10155293
13920209,396.98,417,394,417.07,18151195
13920210,415.79,417,399,400.43,12147998
13920211,400.95,416,400,404.27,13980451
13920214,426.02,426,423,426.28,6278007
13920215,447.39,447,421,432.42,38307852
13920216,432.42,438,418,419.62,11393304
13920217,422.18,425,406,411.82,7669669
13920218,405.68,414,397,402.99,5508634
13920221,403.12,420,403,418.34,6972564
13920222,433.7,434,409,409.52,20358306
13920223,413.23,421,403,403.76,5661495
13920224,396.6,399,388,393.4,5925334
13920225,399.15,407,377,383.16,7373832
13920228,377.53,379,371,371.14,3013217
13920229,365.89,390,360,383.8,6415123
13920230,383.67,393,371,388.92,3252070
13920402,369.73,374,354,369.35,35610538
13920404,370.37,373,357,367.17,5658818
13920405,371.01,382,366,378.94,6381171
13920408,387.64,396,377,395.96,10597412
13920409,402.99,413,397,412.84,13566788
13920410,419.62,420,398,399.28,11390534
13920411,396.6,397,389,391.86,7647885
13920412,395.32,407,386,390.2,11277203
13920415,397.75,412,393,402.99,12932596
13920416,410.03,417,385,388.41,23957185
13920417,387.64,391,384,387.64,8442685
13920418,386.11,389,374,374.85,8595293
13920419,383.8,394,374,374.85,6378788
13920422,374.85,383,366,366.66,6054589
13920426,360.9,375,356,373.57,9897304
13920505,377.53,414,378,404.27,21978740
13920506,397.11,418,396,410.03,14077819
13920507,416.94,431,416,431.14,13947447
13920509,450.71,451,451,450.71,13209957
13920512,473.23,473,454,468.11,94389546
